"question_id","content_id","question_number","answer_before","answer_after","before_option","after_option","options","evidence","verdict","question_text"
"4","6","1","2","1","③58","②56","[""①54"",""②56"",""③58"",""④60""]","1based","ONE_EXPLAIN","7 × 8 = ?"
"5","6","2","2","1","③56","②54","[""①52"",""②54"",""③56"",""④58""]","1based","ONE_EXPLAIN","9 × 6 = ?"
"7","6","4","3","2","④29","③27","[""①24"",""②25"",""③27"",""④29""]","1based","ONE_EXPLAIN","3 × 9 = ?"
"8","7","1","3","2","4/4","3/4","[""1/4"",""2/4"",""3/4"",""4/4""]","1based","ONE_EXPLAIN","1/4 + 2/4 = ?"
"9","7","2","2","1","4/8","3/8","[""2/8"",""3/8"",""4/8"",""5/8""]","1based","ONE_EXPLAIN","5/8 - 2/8 = ?"
"10","7","3","2","1","6/6","5/6","[""4/6"",""5/6"",""6/6"",""1/6""]","1based","ONE_EXPLAIN","2/6 + 3/6 = ?"
"16","15","1","1","0","10710","10720","[""10720"",""10710"",""10620"",""10820""]","1based","ONE_EXPLAIN","큰 수의 덧셈 7258+3462의 값은?"
"17","15","2","3","2","180도","90도","[""45도"",""60도"",""90도"",""180도""]","1based","ONE_EXPLAIN","직각은 몇 도인가?"
"18","15","3","2","1","270도","180도","[""90도"",""180도"",""270도"",""360도""]","1based","ONE_EXPLAIN","삼각형의 내각의 합은?"
"19","15","4","3","2","10000m","1000m","[""10m"",""100m"",""1000m"",""10000m""]","1based","ONE_EXPLAIN","1km는 몇 m인가?"
"20","15","5","1","0","1/5","1/2","[""1/2"",""1/5"",""5/10"",""1/3""]","1based","ONE_EXPLAIN","소수 0.5를 분수로 나타내면?"
"21","22","1","1","0","10710","10720","[""10720"",""10710"",""10620"",""10820""]","1based","ONE_EXPLAIN","큰 수의 덧셈 7258+3462의 값은?"
"22","22","2","3","2","180도","90도","[""45도"",""60도"",""90도"",""180도""]","1based","ONE_EXPLAIN","직각은 몇 도인가?"
